_id,OID,OBJECTID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Leng,Shape_Length,Shape_Area
28,-1,28,11,562,ראשון לציון,מגורים,4407,528866,מגורים,8300,1,0,3,11,7,5,8,1,14,19,0,0,3,16,19,20.799223243099998,202304,3525.104278480000175,3525.104278483438520,528865.903856447665021
29,-1,29,1,1204,ירושלים,שטח פתוח,0,1440959,פנאי/טבע/ספורט,3000,3,0,0,2,0,1,1,0,2,2,0,0,0,2,2,0.693982377467000,202304,5305.202708849999908,5305.202708854343655,1440958.780033059185371
30,-1,30,41,2560,יישובים בדואים לא מוכרים,שטח פתוח,0,65835066,פנאי/טבע/ספורט,0,3,4,11,88,1,14,89,0,103,83,0,5,1,62,83,0.622768419539000,202304,63537.397161100001540,63537.397161094988405,65835065.995083801448345
31,-1,31,40,155,כפר שמריהו,שדה תעופה,0,1168040,תעשיה/מסחר/מתקנים,267,4,0,7,61,0,6,56,6,68,95,13,2,0,71,95,34.245398575099998,202304,5227.192943799999739,5227.192943795485007,1168040.135734799550846
32,-1,32,62,1846,יקנעם עילית,תעשיה,0,2213735,תעשיה/מסחר/מתקנים,240,4,1,12,156,5,30,130,7,169,135,0,8,0,112,135,28.006959762899999,202304,14635.271392000000560,14635.271391991835117,2213735.461647371295840
33,-1,33,4,797,גדרה,מגורים,7412,1054363,מגורים,2550,1,0,0,5,3,2,1,1,5,6,1,0,1,4,6,3.793760175730000,202304,4332.271446470000228,4332.271446469982038,1054362.905063240090385
34,-1,34,16,2409,באר שבע,מגורים,3733,347151,מגורים,9000,1,2,0,41,2,8,27,8,43,31,0,2,0,23,31,46.089454893000003,202304,2395.975856479999948,2395.975856482111340,347150.992285454412922
35,-1,35,0,1439,שמורת טבע נחל דולב,שמורת טבע,0,1094522,פנאי/טבע/ספורט,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,202304,5220.200972640000145,5220.200972642415763,1094521.484573980560526
36,-1,36,7,390,רעננה,שטח לדרכים,0,495014,עתידי/לא ידוע,8700,5,0,2,11,0,1,12,0,13,16,2,0,2,12,16,14.141021991100001,202304,3402.599642080000194,3402.599642078203033,495013.727042658138089
37,-1,37,20,1041,קלנסווה,מגורים,10482,6025328,מגורים,638,1,2,4,35,5,10,28,3,41,34,2,2,0,24,34,3.319321357830000,202304,11417.278730800000631,11417.278730760692270,6025328.024600566364825
